BITCOUNT	15-15
BREADTH_FIRST_SEARCH	24-24
BUCKETSORT	22-22
DEPTH_FIRST_SEARCH	22-22
DETECT_CYCLE	18-18
FIND_FIRST_IN_SORTED    20-20
FIND_IN_SORTED	20-20
FLATTEN	21-21
GCD	19-19
GET_FACTORS	27-27
HANOI	27-27
IS_VALID_PARENTHESIZATION	24-24
KHEAPSORT	27-27
KNAPSACK	30-30
KTH	25-25
LCS_LENGTH	35-35
LEVENSHTEIN	17-17
LIS	31-31
LONGEST_COMMON_SUBSEQUENCE	18-18
MAX_SUBLIST_SUM	19-19
MERGESORT	38-38
MINIMUM_SPANNING_TREE	28-28
NEXT_PALINDROME	35-35
NEXT_PERMUTATION	19-19
PASCAL	22-22
POSSIBLE_CHANGE	17-17
QUICKSORT	26-26
REVERSE_LINKED_LIST	20-20
RPN_EVAL	34-34
SHORTEST_PATH_LENGTH	38-38
SHORTEST_PATH_LENGTHS	37-37
SHORTEST_PATHS	30-30
SHUNTING_YARD	33-33
SIEVE	41-41
SQRT	16-16
SUBSEQUENCES	16-16
TO_BASE	21-21
TOPOLOGICAL_ORDERING	17-17
WRAP	32-32
POWERSET	23-23
